Crater name ,Interior volume
Fersman,24594.05
Babbage,23992.34
Jules Verne,23608.38
Longomontanus,23593.4
Blackett,23522.29
Hirayama,23484.91
Pythagoras,23239.07
Neper,23153.74
Hipparchus,23016.85
Pavlov,22685.79
Vendelinus,22017.41
Mendel,21459.6
Fowler,21413.48
Curie,21183.73
Evans Q,21021.99
Langemak N,20853.96
Antoniadi,20850.47
Abel,20651.96
Minnaert,20638.06
Brianchon,20620.71
Balmer,20289.08
De La Rue,19919.64
Repsold C,19875.43
Furnerius,19855.04
Walther,19584.37
Mee,19543.95
Hecataeus,19396.14
Galois Q,19372.69
Langrenus,18834.35
Lamarck D,18604.4
Albategnius,18460.68
Cleomedes,18437.87
Stofler,18146.06
Avogadro,18136.38
Stebbins,18104.13
Aitken,18088.02
Rontgen,17681.47
Boussingault,17424.91
Poynting,17405.99
Paschen,17346.16
Szilard,17302.14
Debye,17242.51
Regiomontanus,17120.47
Lagrange R,17104.86
Fleming,17036.27
Carnot,16939.89
Zwicky,16939.89
Sklodowska,16781.99
Le Gentil,16729.55
Leeuwenhoek,16612.66
Heaviside K,16581.97
Meton,16520.7
Chaplygin,16122.55
Michelson,16047.19
Weyl,15951.02
Messala,15825.3
Darwin,15759.67
Endymion,15735.85
Demonax,15685.28
Lebedev,15646.68
Nernst,15563.72
Klaproth,15519.37
Engel'gardt B,15472.15
Orontius,15416.19
Fracastorius,15287.02
Eddington,15155.56
Orlov Y,15120.61
Brouwer,15001.54
South,14839.78
Petermann R,14650.41
Riemann,14499.34
Letronne,14425.56
Xenophanes,14419.89
Thomson,14329.39
Volta,14301.17
Nansen,14230.77
Kastner,13998.46
Barnard,13903.92
Nassau F,13804.21
Buisson Z,13798.68
Maurolycus,13798.68
Goldschmidt,13773.82
Phocylides,13751.75
Purbach,13693.9
Lamarck,13606.02
Emden,13603.28
Moretus,13551.25
Plaskett,13521.19
Gamow,13406.73
Hevelius,13393.14
Thomson M,13382.28
Rayleigh,13365.99
Kovalevskaya,13349.71
Hommel,13319.9
Wiener,13263.09
Van der Waals,13257.68
Flamsteed P,12954.42
Stefan,12938.43
Rumford T,12802.96
Alden,12742.13
Gassendi,12728.92
Kurchatov,12615.7
Alphonsus,12505.67
Helmholtz,12406.58
Scheiner,12383.18
Charlier,12333.86
Sternfeld,12313.13
Maxwell,12168.55
H. G. Wells,12081.24
Repsold,12017.26
Hermite,12014.71
Levi-Civita,11910.23
Pascal,11902.6
Ostwald,11884.82
Amici M,11829.04
Scott,11806.26
Minkowski,11728
van't Hoff,11675.15
Fizeau,11619.92
Blancanus,11306.51
Buffon,11291.7
Numerov,11200.66
Anderson,11185.93
Langemak,11046.6
Rocca W,11019.82
Fitzgerald,10913.09
Phillips,10913.09
Firsov S,10903.41
Boussingault E,10884.08
Lamb,10754.09
Lundmark,10727.72
Wyld,10718.14
Amundsen,10715.75
Russell,10710.96
Saha,10703.78
Casatus,10586.9
Al-Khwarizmi G,10582.15
Philolaus G,10546.52
Seyfert,10534.66
Piazzi,10520.44
Vasco da Gama P,10513.34
Bolyai,10437.7
Leeuwenhoek E,10411.77
Eotvos,10338.9
Doppler,10336.55
Gartner,10336.55
Yablochkov,10266.32
Fridman,10256.97
Wilhelm,10112.75
Ventris,10091.91
Plato,10078.03
Kovalevskaya Q,10066.47
Pitatus,10066.47
Cabeus,10054.92
Gilbert,9978.88
Schuster,9939.84
Olbers D,9928.37
Seares,9807.27
Larmor,9805
Curtius,9759.53
Banachiewicz,9714.17
Paraskevopoulos,9664.43
Gerard,9644.12
Catharina,9641.86
Chretien,9610.32
Theophilus,9601.32
Guyot,9531.72
Vavilov,9518.29
Philolaus C,9500.39
Cyrillus,9489.21
Kondratyuk,9462.42
Vestine,9426.76
Sacrobosco,9395.62
Sikorsky,9395.62
Joule,9362.32
Byrd,9355.67
Schlesinger,9309.18
Milne P,9276.05
Mitra,9269.44
Neujmin,9254.01
Arzachel,9245.2
Fra Mauro,9194.63
Anaximander D,9166.12
Krasovskiy T,9128.91
von Bekesy,9083.07
Vavilov D,9072.17
Longomontanus Z,9056.93
Copernicus,9043.88
Manzinus,9022.15
Wegener,8980.94
Kastner G,8954.97
Babcock,8873.01
Pauli,8873.01
Posidonius,8825.76
Alexander,8770.09
Koch,8748.74
Encke T,8744.47
Inghirami,8727.41
Boguslawsky,8725.28
Parenago,8721.02
Wiener K,8708.24
Schickard P,8682.72
Vetchinkin,8661.49
Kekule,8646.64
Milankovic,8644.52
Hecataeus K,8629.69
Isaev,8621.23
Millikan,8593.74
Barrow,8562.08
Berlage,8547.33
Icarus,8543.12
Lemaitre,8536.81
Daedalus,8517.88
Vasco da Gama,8498.97
Crommelin,8490.58
Petzval,8488.48
Dyson Q,8440.31
Goddard,8427.76
Arnold,8417.32
Parkhurst,8406.89
Shayn,8369.38
Bose,8296.72
Davisson,8278.1
Cockcroft,8216.18
Papaleksi,8189.43
Rothmann G,8185.32
Vernadskiy,8177.11
Legendre K,8164.79
Playfair G,8117.67
Kibal'chich,8115.62
Rosenberger,8111.53
Gruemberger,8080.9
Langmuir,8080.9
Ansgarius,8064.59
Karpinskiy,8060.51
Pontecoulant,8060.51
Philolaus D,8050.33
Lipskiy,8009.67
Abel M,7981.28
Lomonosov,7916.61
Hess,7866.29
Sirsalis Z,7842.2
Gerasimovich,7816.15
Love,7794.15
Brenner,7780.16
Birmingham,7762.2
Robertson,7748.25
Short B,7746.26
Coulomb,7722.38
Leucippus Q,7668.8
Baillaud,7666.82
Roberts,7652.97
Vlacq,7621.36
Laue,7613.46
Moseley,7558.35
Lagalla,7536.76
Perepelkin,7528.92
Amici U,7526.96
Vening Meinesz,7519.13
Chandler,7501.51
McMath,7497.6
Gemma Frisius,7489.78
Pingre,7468.31
Ibn Firnas,7441.02
Spencer Jones,7421.57
Atlas,7407.97
Hopmann,7353.71
Paschen M,7353.71
Torricelli R,7315.09
Berkner,7311.23
Piccolomini,7303.52
Aristoteles,7301.6
Schluter,7297.74
Prandtl,7293.89
Hahn,7286.2
Perrine,7270.82
Meitner,7243.94
Lobachevskiy,7242.03
Vieta,7222.87
Wurzelbauer,7148.43
Tikhomirov,7083.89
Scaliger,7078.21
Bell,7064.97
Hayn,7042.31
Meton C,7025.34
Snellius,6998.98
Paracelsus,6980.2
