,name,calories,total_fat,protein,carbohydrate
31,"McDONALD'S, Side Salad",20,0.2g,1.03 g,4.30 g
34,"McDONALD'S, Hash Brown",271,16g,2.48 g,28.56 g
83,"McDONALD'S, Hamburger",264,10g,12.92 g,30.28 g
240,"McDONALD'S, BIG MAC",257,15g,11.82 g,20.08 g
759,"McDONALD'S, Hot Mustard Sauce",190,7.3g,2.60 g,29.08 g
767,"McDONALD'S, Chicken McNUGGETS",302,20g,15.79 g,15.09 g
794,"McDONALD'S, Hot Fudge Sundae",186,5.9g,4.14 g,30.05 g
815,"McDONALD'S, Hotcakes (plain)",228,5.8g,6.00 g,38.27 g
861,"McDONALD'S, Sausage McMUFFIN",333,21g,12.66 g,24.52 g
919,"McDONALD'S, Baked Apple Pie",323,16g,3.07 g,43.62 g
